#RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
ESH25,Market Price,2025-03-11T14:49:00.000000000Z,-5,Intraday 1Min,5564.5,5566,5559.75,5564.75,5281,2494,5564.5,5565.75,5559.5,5564.75,5564.75,5566,5559.75,5565,,20,122,1,4,12,38,1,30
ESH25,Market Price,2025-03-11T14:50:00.000000000Z,-5,Intraday 1Min,5564.75,5569.25,5561,5569.25,6379,3020,5564.75,5569.25,5560.75,5569.25,5565,5569.5,5561,5569.5,,5,121,1,20,30,47,1,9
ESH25,Market Price,2025-03-11T14:51:00.000000000Z,-5,Intraday 1Min,5569.5,5571.25,5566.5,5570.25,4767,2310,5569.25,5571.25,5566.5,5570,5569.75,5571.5,5566.75,5570.25,,20,130,1,14,21,33,1,5
ESH25,Market Price,2025-03-11T14:52:00.000000000Z,-5,Intraday 1Min,5570,5579,5567,5578.75,6753,3102,5570,5578.75,5566.75,5578.75,5570.25,5579,5567,5579,,15,118,1,5,5,80,1,18
ESH25,Market Price,2025-03-11T14:53:00.000000000Z,-5,Intraday 1Min,5578.75,5581.5,5576.5,5578.5,6295,2808,5578.75,5581.5,5576.25,5578.5,5579,5581.75,5576.5,5578.75,,4,45,1,2,18,125,1,10
ESH25,Market Price,2025-03-11T14:54:00.000000000Z,-5,Intraday 1Min,5578.5,5585.25,5578.25,5584.75,6143,2682,5578.5,5585,5578,5584.25,5578.75,5585.25,5578.25,5584.75,,3,97,1,16,10,58,1,14
ESH25,Market Price,2025-03-11T14:55:00.000000000Z,-5,Intraday 1Min,5584.5,5585,5575.25,5578,6690,2682,5584.25,5585,5575,5577.75,5584.5,5585.25,5575.5,5578,,16,76,1,8,2,36,1,9
ESH25,Market Price,2025-03-11T14:56:00.000000000Z,-5,Intraday 1Min,5577.75,5578.25,5573.5,5574.5,4901,2041,5577.75,5578,5573.25,5574.25,5578,5578.25,5573.5,5574.5,,7,79,1,18,9,43,1,4
ESH25,Market Price,2025-03-11T14:57:00.000000000Z,-5,Intraday 1Min,5574.5,5576.25,5570.5,5572.25,4838,2226,5574.25,5576,5570.5,5572,5574.5,5576.25,5570.75,5572.25,,18,43,1,6,6,154,1,10
ESH25,Market Price,2025-03-11T14:58:00.000000000Z,-5,Intraday 1Min,5572,5573,5565.25,5566.5,4691,2134,5572,5573,5565.25,5566.5,5572.25,5573.25,5565.75,5566.75,,7,74,1,7,10,40,1,7
